Product,ProductFeature,SentimentCategory,SentimentScore,CommonIssues
Product_D,Durability,Negative,0.46,Not sturdy
Product_B,Value for Money,Neutral,0.18,Uncomfortable
Product_D,Design,Positive,0.19,Better alternatives exist
Product_A,Functionality,Positive,0.38,Difficult to operate
Product_C,Functionality,Negative,0.36,Not worth the price
Product_C,Design,Positive,0.48,Wears out quickly
Product_E,Value for Money,Neutral,0.67,Not worth the price
Product_E,Value for Money,Negative,0.27,Not sturdy
Product_E,Durability,Negative,0.67,Not sturdy
Product_E,Ease of Use,Negative,0.67,Poor aesthetics
Product_A,Durability,Neutral,0.54,Limited features
Product_A,Design,Neutral,0.62,Breaks easily
Product_B,Functionality,Neutral,0.65,Uncomfortable
Product_D,Ease of Use,Negative,0.39,Not worth the price
Product_D,Functionality,Positive,0.23,Too many steps
Product_D,Functionality,Positive,0.39,Looks outdated
Product_C,Functionality,Neutral,0.59,Breaks easily
Product_B,Functionality,Negative,0.68,Too many steps
Product_A,Functionality,Negative,0.74,Not sturdy
Product_B,Functionality,Negative,0.53,Limited features
Product_C,Ease of Use,Neutral,0.38,Limited features
Product_D,Functionality,Neutral,0.28,Not worth the price
Product_E,Functionality,Negative,0.28,Wears out quickly
Product_A,Functionality,Neutral,0.41,Hard to understand
Product_E,Ease of Use,Negative,0.97,Hard to understand
Product_C,Durability,Neutral,0.44,Not user-friendly
Product_A,Ease of Use,Negative,0.75,Looks outdated
Product_B,Durability,Positive,0.54,Too expensive
Product_E,Durability,Neutral,0.48,Looks outdated
Product_C,Functionality,Positive,0.3,Limited features
Product_B,Ease of Use,Neutral,0.48,Uncomfortable
Product_A,Design,Negative,0.25,Too expensive
Product_A,Design,Negative,0.52,Poor aesthetics
Product_B,Value for Money,Neutral,0.4,Too many steps
Product_D,Value for Money,Negative,0.7,Limited features
Product_E,Ease of Use,Negative,0.67,Not sturdy
Product_A,Value for Money,Neutral,0.41,Too many steps
Product_A,Ease of Use,Neutral,0.25,Hard to understand
Product_E,Value for Money,Neutral,0.3,Uncomfortable
Product_C,Design,Negative,0.21,Breaks easily
Product_D,Durability,Neutral,0.12,Not sturdy
Product_E,Functionality,Negative,0.76,Difficult to operate
Product_E,Design,Positive,0.74,Difficult to operate
Product_E,Durability,Neutral,0.19,Not worth the price
Product_E,Functionality,Negative,0.93,Hard to understand
Product_E,Design,Positive,0.85,Difficult to operate
Product_A,Functionality,Neutral,0.49,Not worth the price
Product_E,Functionality,Positive,0.54,Not worth the price
Product_A,Ease of Use,Positive,0.47,Breaks easily
Product_B,Ease of Use,Neutral,0.45,Difficult to operate
Product_E,Value for Money,Positive,0.53,Too expensive
Product_D,Value for Money,Negative,-0.02,Looks outdated
Product_E,Ease of Use,Negative,1.01,Not sturdy
Product_E,Ease of Use,Positive,0.38,Better alternatives exist
Product_D,Functionality,Positive,0.79,Too expensive
Product_B,Design,Negative,0.44,Better alternatives exist
Product_E,Durability,Neutral,0.57,Wears out quickly
Product_A,Functionality,Negative,0.46,Looks outdated
Product_D,Functionality,Negative,0.96,Too many steps
Product_D,Value for Money,Positive,0.78,Not sturdy
Product_E,Durability,Neutral,0.22,Uncomfortable
Product_D,Design,Positive,0.38,Too expensive
Product_E,Design,Neutral,0.62,Hard to understand
Product_A,Functionality,Positive,0.17,Too expensive
Product_C,Value for Money,Neutral,0.61,Not user-friendly
Product_B,Durability,Negative,0.28,Not user-friendly
Product_B,Ease of Use,Negative,0.71,Limited features
Product_A,Durability,Negative,0.25,Hard to understand
Product_D,Functionality,Neutral,0.39,Uncomfortable
Product_A,Functionality,Neutral,0.44,Hard to understand
Product_A,Durability,Negative,0.76,Poor aesthetics
Product_C,Design,Negative,0.42,Not worth the price
Product_D,Value for Money,Negative,0.13,Not user-friendly
Product_D,Functionality,Positive,0.43,Not user-friendly
Product_A,Ease of Use,Positive,0.41,Poor aesthetics
Product_C,Ease of Use,Neutral,0.46,Difficult to operate
Product_E,Functionality,Negative,0.62,Not worth the price
Product_B,Value for Money,Neutral,0.5,Looks outdated
Product_C,Durability,Neutral,-0.03,Better alternatives exist
Product_E,Design,Negative,0.25,Difficult to operate
Product_B,Value for Money,Positive,0.69,Better alternatives exist
Product_D,Functionality,Positive,0.1,Doesn't work as expected
Product_C,Functionality,Positive,0.48,Poor aesthetics
Product_C,Design,Negative,0.93,Too many steps
Product_B,Durability,Neutral,0.6,Looks outdated
Product_D,Durability,Neutral,0.86,Hard to understand
Product_D,Functionality,Positive,0.75,Not worth the price
Product_E,Value for Money,Neutral,0.42,Uncomfortable
Product_B,Ease of Use,Neutral,0.59,Breaks easily
Product_E,Functionality,Neutral,0.2,Not user-friendly
Product_C,Durability,Positive,0.36,Breaks easily
Product_D,Design,Neutral,0.43,Wears out quickly
Product_D,Ease of Use,Negative,0.59,Breaks easily
Product_D,Design,Positive,0.75,Difficult to operate
Product_A,Design,Neutral,0.57,Looks outdated
Product_B,Design,Positive,-0.19,Better alternatives exist
Product_E,Value for Money,Positive,0.55,Doesn't work as expected
Product_E,Design,Negative,0.6,Not user-friendly
Product_D,Value for Money,Positive,0.9,Not worth the price
Product_D,Value for Money,Neutral,0.1,Not user-friendly
Product_A,Ease of Use,Negative,0.43,Limited features
Product_C,Value for Money,Positive,0.79,Not sturdy
Product_D,Design,Positive,0.65,Not user-friendly
Product_C,Value for Money,Negative,0.39,Not sturdy
Product_E,Functionality,Negative,0.48,Not sturdy
Product_D,Design,Neutral,0.4,Limited features
Product_D,Durability,Neutral,0.75,Too expensive
Product_A,Value for Money,Negative,0.43,Better alternatives exist
Product_C,Value for Money,Negative,0.37,Not worth the price
Product_E,Design,Neutral,0.54,Looks outdated
Product_D,Functionality,Neutral,0.45,Doesn't work as expected
Product_B,Durability,Negative,0.61,Breaks easily
Product_B,Design,Neutral,0.3,Not sturdy
Product_D,Functionality,Negative,0.67,Not user-friendly
Product_D,Value for Money,Negative,0.84,Difficult to operate
Product_E,Design,Neutral,0.19,Breaks easily
Product_B,Design,Neutral,0.23,Breaks easily
Product_D,Functionality,Positive,0.67,Not worth the price
Product_B,Functionality,Neutral,0.98,Breaks easily
Product_E,Design,Positive,0.47,Limited features
Product_B,Functionality,Negative,0.3,Breaks easily
Product_B,Functionality,Negative,0.67,Doesn't work as expected
Product_C,Ease of Use,Positive,0.56,Doesn't work as expected
Product_E,Design,Positive,0.55,Doesn't work as expected
Product_D,Value for Money,Positive,0.69,Too expensive
Product_D,Value for Money,Neutral,0.55,Poor aesthetics
Product_E,Design,Neutral,0.52,Not user-friendly
Product_C,Durability,Positive,0.36,Too many steps
Product_A,Ease of Use,Neutral,0.82,Not user-friendly
Product_E,Design,Positive,1.03,Not user-friendly
Product_D,Functionality,Negative,-0.08,Limited features
Product_C,Ease of Use,Neutral,0.6,Wears out quickly
Product_A,Value for Money,Negative,0.48,Too expensive
Product_A,Functionality,Negative,0.56,Poor aesthetics
Product_E,Ease of Use,Neutral,0.54,Breaks easily
Product_A,Design,Positive,0.12,Poor aesthetics
Product_E,Value for Money,Positive,0.44,Poor aesthetics
Product_A,Design,Negative,0.59,Looks outdated
Product_A,Durability,Positive,0.86,Not worth the price
Product_E,Ease of Use,Negative,0.33,Wears out quickly
Product_A,Durability,Negative,0.38,Breaks easily
Product_B,Durability,Negative,0.7,Breaks easily
Product_E,Durability,Neutral,0.42,Wears out quickly
Product_B,Design,Neutral,0.32,Wears out quickly
Product_C,Ease of Use,Neutral,0.64,Not worth the price
Product_E,Functionality,Neutral,0.63,Not user-friendly
Product_E,Durability,Neutral,0.7,Poor aesthetics
Product_E,Ease of Use,Negative,0.67,Uncomfortable
Product_C,Value for Money,Positive,0.39,Hard to understand
Product_A,Durability,Positive,0.58,Limited features
Product_C,Value for Money,Negative,0.35,Uncomfortable
Product_D,Ease of Use,Positive,0.49,Not sturdy
Product_C,Durability,Neutral,0.28,Uncomfortable
Product_A,Value for Money,Neutral,0.56,Poor aesthetics
Product_D,Value for Money,Neutral,0.34,Difficult to operate
Product_C,Value for Money,Negative,0.54,Hard to understand
Product_E,Ease of Use,Negative,0.37,Better alternatives exist
Product_B,Functionality,Neutral,0.47,Not sturdy
Product_D,Design,Neutral,0.22,Too many steps
Product_A,Value for Money,Neutral,0.63,Better alternatives exist
Product_E,Functionality,Negative,0.48,Not worth the price
Product_E,Ease of Use,Neutral,0.44,Not worth the price
Product_C,Durability,Negative,0.47,Not user-friendly
Product_C,Design,Positive,0.2,Uncomfortable
Product_D,Ease of Use,Positive,0.39,Not user-friendly
Product_B,Durability,Positive,0.31,Hard to understand
Product_B,Design,Positive,0.59,Breaks easily
Product_E,Ease of Use,Neutral,0.77,Too many steps
Product_C,Design,Positive,0.52,Uncomfortable
Product_C,Design,Neutral,0.35,Uncomfortable
Product_B,Value for Money,Neutral,0.3,Better alternatives exist
Product_E,Durability,Positive,0.51,Breaks easily
Product_E,Functionality,Neutral,0.41,Doesn't work as expected
Product_A,Design,Negative,0.35,Better alternatives exist
Product_E,Functionality,Negative,0.32,Uncomfortable
Product_E,Durability,Neutral,0.43,Too expensive
Product_E,Ease of Use,Positive,0.23,Uncomfortable
Product_E,Design,Negative,0.68,Looks outdated
Product_D,Value for Money,Negative,0.17,Doesn't work as expected
Product_E,Ease of Use,Neutral,0.66,Poor aesthetics
Product_E,Functionality,Positive,0.64,Difficult to operate
Product_C,Value for Money,Positive,0.41,Poor aesthetics
Product_A,Ease of Use,Neutral,0.81,Looks outdated
Product_C,Functionality,Positive,0.34,Hard to understand
Product_A,Durability,Negative,0.84,Better alternatives exist
Product_A,Ease of Use,Negative,0.24,Hard to understand
Product_B,Value for Money,Negative,0.47,Hard to understand
Product_C,Durability,Neutral,0.61,Not sturdy
Product_B,Value for Money,Positive,0.66,Limited features
Product_C,Ease of Use,Negative,0.43,Too expensive
Product_D,Functionality,Negative,0.03,Limited features
Product_C,Functionality,Neutral,0.05,Hard to understand
Product_B,Durability,Negative,0.43,Limited features
Product_C,Design,Negative,0.9,Difficult to operate
Product_D,Value for Money,Neutral,0.62,Poor aesthetics
Product_E,Functionality,Negative,0.57,Not user-friendly
Product_E,Durability,Positive,0.41,Not worth the price
Product_A,Ease of Use,Negative,0.59,Not worth the price
Product_E,Functionality,Neutral,0.7,Looks outdated
Product_B,Functionality,Neutral,0.63,Wears out quickly
Product_D,Durability,Negative,0.46,Wears out quickly
Product_E,Value for Money,Negative,0.41,Wears out quickly
Product_C,Durability,Negative,0.2,Doesn't work as expected
Product_B,Durability,Negative,0.55,Not user-friendly
Product_D,Value for Money,Positive,0.38,Difficult to operate
Product_E,Ease of Use,Negative,0.91,Difficult to operate
Product_A,Value for Money,Negative,0.69,Breaks easily
Product_D,Functionality,Positive,0.55,Uncomfortable
Product_D,Ease of Use,Positive,0.61,Not sturdy
Product_D,Ease of Use,Neutral,0.57,Not sturdy
Product_E,Ease of Use,Neutral,0.43,Poor aesthetics
Product_A,Design,Negative,0.54,Doesn't work as expected
Product_A,Ease of Use,Negative,0.58,Too many steps
Product_A,Value for Money,Positive,0.23,Wears out quickly
Product_D,Design,Positive,0.82,Too expensive
Product_B,Value for Money,Positive,0.7,Not worth the price
Product_E,Ease of Use,Positive,0.34,Not sturdy
Product_A,Value for Money,Negative,0.53,Too expensive
Product_E,Functionality,Neutral,0.18,Not user-friendly
Product_D,Functionality,Positive,0.59,Uncomfortable
Product_C,Durability,Negative,0.61,Poor aesthetics
Product_C,Functionality,Positive,0.52,Poor aesthetics
Product_A,Durability,Negative,0.51,Uncomfortable
Product_A,Functionality,Positive,0.44,Too many steps
Product_E,Value for Money,Positive,0.3,Better alternatives exist
Product_C,Functionality,Negative,0.81,Hard to understand
Product_A,Functionality,Positive,0.32,Better alternatives exist
Product_B,Functionality,Positive,0.47,Too expensive
Product_D,Durability,Neutral,0.45,Hard to understand
Product_D,Design,Positive,0.79,Breaks easily
Product_E,Ease of Use,Negative,0.27,Too many steps
Product_D,Functionality,Positive,0.31,Uncomfortable
Product_A,Design,Neutral,0.45,Difficult to operate
Product_C,Functionality,Neutral,0.51,Difficult to operate
Product_B,Durability,Negative,0.47,Too expensive
Product_C,Durability,Negative,0.44,Uncomfortable
Product_D,Durability,Negative,0.71,Too expensive
Product_A,Ease of Use,Neutral,0.25,Uncomfortable
Product_C,Durability,Neutral,0.15,Breaks easily
Product_B,Value for Money,Negative,0.45,Looks outdated
Product_A,Design,Negative,0.59,Not sturdy
Product_E,Value for Money,Negative,0.12,Uncomfortable
Product_D,Functionality,Negative,0.33,Limited features
Product_A,Design,Negative,0.47,Uncomfortable
Product_B,Value for Money,Negative,0.44,Limited features
Product_C,Value for Money,Positive,0.65,Uncomfortable
Product_C,Functionality,Negative,0.61,Better alternatives exist
Product_E,Ease of Use,Negative,0.41,Not sturdy
Product_B,Design,Neutral,0.46,Not worth the price
Product_C,Design,Neutral,0.35,Not worth the price
Product_A,Functionality,Positive,0.26,Better alternatives exist
Product_D,Functionality,Negative,0.65,Breaks easily
Product_C,Ease of Use,Negative,0.6,Uncomfortable
Product_E,Design,Negative,0.54,Not user-friendly
Product_E,Ease of Use,Negative,0.3,Not worth the price
Product_A,Design,Negative,-0.03,Too expensive
Product_B,Value for Money,Negative,0.42,Too expensive
Product_A,Functionality,Neutral,0.6,Looks outdated
Product_B,Value for Money,Negative,0.41,Uncomfortable
Product_C,Ease of Use,Negative,0.27,Too many steps
Product_A,Value for Money,Negative,0.4,Looks outdated
Product_C,Ease of Use,Neutral,0.71,Too many steps
Product_B,Durability,Negative,0.36,Not sturdy
Product_C,Functionality,Neutral,0.61,Too many steps
Product_C,Design,Negative,0.62,Doesn't work as expected
Product_E,Design,Neutral,0.18,Limited features
Product_D,Ease of Use,Neutral,0.66,Too many steps
Product_D,Ease of Use,Neutral,0.68,Too many steps
Product_B,Durability,Neutral,0.66,Not worth the price
Product_D,Functionality,Positive,0.49,Wears out quickly
Product_B,Design,Positive,0.48,Not worth the price
Product_D,Functionality,Negative,0.84,Limited features
Product_C,Ease of Use,Neutral,0.61,Too many steps
Product_A,Value for Money,Neutral,0.83,Not user-friendly
Product_C,Design,Negative,0.47,Hard to understand
Product_C,Durability,Positive,0.72,Too many steps
Product_B,Functionality,Neutral,0.69,Breaks easily
Product_A,Ease of Use,Neutral,0.63,Not user-friendly
Product_B,Functionality,Positive,0.61,Too expensive
Product_B,Durability,Positive,0.37,Not worth the price
Product_C,Durability,Positive,0.43,Limited features
Product_D,Value for Money,Negative,0.48,Not sturdy
Product_D,Ease of Use,Negative,0.42,Poor aesthetics
Product_A,Functionality,Negative,0.31,Poor aesthetics
Product_E,Functionality,Neutral,0.36,Too many steps
Product_E,Value for Money,Neutral,0.59,Hard to understand
Product_C,Design,Negative,0.48,Too expensive
Product_C,Value for Money,Neutral,0.45,Difficult to operate
Product_A,Value for Money,Negative,0.23,Hard to understand
Product_E,Durability,Neutral,0.44,Not worth the price
Product_A,Durability,Neutral,0.5,Not user-friendly
Product_B,Durability,Positive,0.38,Limited features
Product_B,Functionality,Positive,0.64,Limited features
Product_B,Durability,Positive,0.56,Not worth the price
Product_D,Ease of Use,Neutral,0.5,Limited features
Product_A,Durability,Negative,0.41,Not sturdy
Product_A,Durability,Neutral,0.59,Limited features
Product_B,Value for Money,Neutral,0.36,Hard to understand
Product_A,Durability,Negative,0.79,Not user-friendly
Product_E,Value for Money,Negative,0.33,Wears out quickly
Product_C,Ease of Use,Neutral,0.45,Wears out quickly
Product_C,Ease of Use,Negative,0.48,Difficult to operate
Product_A,Design,Neutral,0.71,Too many steps
Product_D,Durability,Positive,0.5,Breaks easily
Product_E,Design,Positive,0.54,Doesn't work as expected
Product_E,Functionality,Neutral,0.7,Difficult to operate
Product_D,Functionality,Positive,0.7,Breaks easily
Product_A,Design,Negative,0.55,Too expensive
Product_A,Design,Positive,0.44,Breaks easily
Product_C,Durability,Neutral,0.73,Poor aesthetics
Product_E,Durability,Neutral,0.18,Doesn't work as expected
Product_C,Functionality,Neutral,0.57,Poor aesthetics
Product_E,Functionality,Positive,0.24,Breaks easily
Product_E,Functionality,Positive,0.46,Breaks easily
Product_B,Design,Neutral,0.7,Breaks easily
Product_A,Functionality,Neutral,0.64,Not sturdy
Product_D,Design,Positive,0.4,Too many steps
Product_D,Ease of Use,Positive,0.55,Breaks easily
Product_E,Ease of Use,Positive,0.51,Hard to understand
Product_D,Ease of Use,Positive,0.35,Looks outdated
Product_C,Ease of Use,Positive,0.44,Too expensive
Product_E,Ease of Use,Negative,0.61,Not user-friendly
Product_B,Ease of Use,Positive,0.42,Too expensive
Product_D,Durability,Neutral,0.58,Too many steps
Product_A,Design,Negative,0.35,Doesn't work as expected
Product_E,Durability,Negative,0.31,Not sturdy
Product_D,Durability,Positive,0.73,Too many steps
Product_E,Ease of Use,Positive,0.79,Too expensive
Product_A,Durability,Neutral,0.63,Not user-friendly
Product_D,Ease of Use,Positive,0.45,Hard to understand
Product_B,Durability,Neutral,0.76,Breaks easily
Product_B,Value for Money,Neutral,0.52,Not worth the price
Product_D,Design,Neutral,0.31,Too many steps
Product_A,Functionality,Negative,0.48,Looks outdated
Product_D,Design,Positive,0.46,Not sturdy
Product_B,Functionality,Positive,0.76,Not worth the price
Product_D,Value for Money,Negative,0.78,Poor aesthetics
Product_E,Ease of Use,Positive,0.52,Breaks easily
Product_C,Functionality,Neutral,0.37,Breaks easily
Product_A,Design,Positive,0.8,Looks outdated
Product_E,Design,Positive,0.34,Too expensive
Product_A,Value for Money,Negative,0.26,Difficult to operate
Product_D,Functionality,Neutral,0.51,Better alternatives exist
Product_A,Ease of Use,Negative,-0.13,Breaks easily
Product_C,Ease of Use,Neutral,0.5,Not worth the price
Product_B,Durability,Positive,0.47,Too many steps
Product_E,Durability,Negative,0.42,Better alternatives exist
Product_C,Ease of Use,Neutral,0.65,Limited features
Product_C,Functionality,Positive,0.74,Poor aesthetics
Product_A,Functionality,Positive,0.34,Not sturdy
Product_D,Design,Neutral,0.52,Too many steps
Product_B,Design,Positive,0.42,Not worth the price
Product_A,Durability,Positive,0.58,Hard to understand
Product_A,Functionality,Negative,0.54,Hard to understand
Product_E,Durability,Neutral,0.66,Hard to understand
Product_D,Functionality,Negative,0.57,Too many steps
Product_A,Durability,Positive,0.6,Looks outdated
Product_C,Functionality,Positive,0.4,Doesn't work as expected
Product_C,Design,Neutral,0.5,Doesn't work as expected
Product_B,Value for Money,Negative,0.34,Wears out quickly
Product_B,Value for Money,Positive,0.43,Poor aesthetics
Product_B,Durability,Positive,0.73,Better alternatives exist
Product_A,Ease of Use,Positive,0.55,Not worth the price
Product_E,Design,Negative,0.39,Better alternatives exist
Product_B,Ease of Use,Positive,0.62,Wears out quickly
Product_A,Design,Neutral,0.32,Better alternatives exist
Product_E,Durability,Negative,0.61,Too many steps
Product_C,Functionality,Negative,0.42,Doesn't work as expected
Product_D,Functionality,Positive,0.4,Wears out quickly
Product_E,Design,Positive,0.32,Wears out quickly
Product_A,Functionality,Negative,0.44,Too expensive
Product_A,Design,Neutral,0.88,Difficult to operate
Product_E,Value for Money,Positive,0.35,Difficult to operate
Product_B,Durability,Negative,0.62,Too expensive
Product_A,Design,Positive,0.27,Hard to understand
Product_B,Durability,Negative,0.7,Wears out quickly
Product_A,Ease of Use,Negative,0.78,Not user-friendly
Product_B,Design,Negative,0.41,Looks outdated
Product_D,Durability,Positive,-0.05,Wears out quickly
Product_B,Durability,Positive,0.57,Uncomfortable
Product_A,Durability,Positive,0.65,Wears out quickly
Product_D,Design,Negative,0.83,Difficult to operate
Product_B,Durability,Negative,0.29,Difficult to operate
Product_D,Design,Positive,0.47,Not worth the price
Product_E,Durability,Negative,0.19,Poor aesthetics
Product_E,Value for Money,Negative,0.52,Better alternatives exist
Product_C,Durability,Negative,0.76,Wears out quickly
Product_C,Design,Negative,0.41,Poor aesthetics
Product_D,Design,Positive,0.3,Hard to understand
Product_E,Value for Money,Neutral,0.6,Too expensive
Product_A,Durability,Negative,0.56,Difficult to operate
Product_C,Durability,Positive,0.64,Too many steps
Product_E,Durability,Negative,0.55,Breaks easily
Product_A,Ease of Use,Neutral,0.62,Not sturdy
Product_A,Value for Money,Neutral,0.58,Doesn't work as expected
Product_D,Functionality,Positive,0.65,Uncomfortable
Product_B,Ease of Use,Neutral,0.25,Poor aesthetics
Product_B,Value for Money,Negative,0.45,Breaks easily
Product_A,Ease of Use,Positive,0.49,Wears out quickly
Product_A,Functionality,Neutral,0.43,Not worth the price
Product_D,Functionality,Negative,0.69,Not user-friendly
Product_C,Ease of Use,Neutral,0.43,Looks outdated
Product_B,Ease of Use,Neutral,0.56,Wears out quickly
Product_E,Functionality,Positive,0.42,Limited features
Product_B,Design,Negative,0.13,Not user-friendly
Product_B,Durability,Neutral,0.44,Better alternatives exist
Product_E,Functionality,Negative,0.45,Difficult to operate
Product_D,Design,Positive,0.58,Limited features
Product_C,Functionality,Negative,0.29,Wears out quickly
Product_E,Durability,Negative,0.61,Too many steps
Product_A,Ease of Use,Negative,0.95,Not worth the price
Product_E,Value for Money,Negative,0.66,Limited features
Product_E,Durability,Positive,0.51,Not sturdy
Product_D,Ease of Use,Neutral,0.49,Difficult to operate
Product_A,Ease of Use,Negative,0.73,Difficult to operate
Product_D,Value for Money,Neutral,0.54,Too many steps
Product_C,Ease of Use,Negative,0.75,Breaks easily
Product_D,Durability,Neutral,0.56,Too many steps
Product_D,Durability,Neutral,0.41,Limited features
Product_A,Value for Money,Negative,0.48,Looks outdated
Product_D,Design,Neutral,0.52,Hard to understand
Product_C,Design,Neutral,0.58,Breaks easily
Product_B,Ease of Use,Positive,0.29,Uncomfortable
